,Value
total_return_%,11.929535856777118
cagr_%,788.7390030780707
avg_daily_return_%,0.9941279880647599
avg_monthly_return_%,11.929535856777118
best_day_%,11.929535856777118
worst_day_%,0.0
best_month_%,11.929535856777118
worst_month_%,11.929535856777118
daily_win_rate_%,8.333333333333332
monthly_win_rate_%,100.0
annual_volatility_%,54.66800106937103
downside_volatility_%,0
max_drawdown_%,0.0
avg_drawdown_%,0
current_drawdown_%,0.0
max_dd_duration_days,0
recovery_time_days,0
var_95_%,0.0
var_99_%,0.0
cvar_95_%,0.0
cvar_99_%,0.0
ulcer_index,0.0
sharpe_ratio,4.472822276454472
sortino_ratio,0
calmar_ratio,0
omega_ratio,0
recovery_factor,0
profit_factor,0
num_trades,29
total_costs_rs,558.9650170390274
costs_pct_of_final,0.049939009642125935
avg_num_positions,8.307692307692308
annual_turnover,0.17954557854845618
avg_holding_period_days,7.448275862068966
trades_per_month,46.84615384615385
skewness,3.0151134457776365
kurtosis,7.09090909090909
is_normal_distribution,False
jarque_bera_pvalue,3.9145246527422676e-10
autocorrelation_lag1,
autocorrelation_lag5,
tail_ratio,0
