date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-06-01,DIVISLAB.NS,BUY,0.767,70.0,6667.0,6348.0,7145.5,1.5,SIDEWAYS
2026-06-01,BHARTIARTL.NS,BUY,0.633,65.0,1829.0,1754.47,1940.79,1.5,SIDEWAYS
2026-06-01,COALINDIA.NS,BUY,0.467,57.5,457.9,432.02,496.72,1.5,SIDEWAYS
2026-06-01,SUNPHARMA.NS,BUY,0.435,66.0,1799.2,1716.33,1923.51,1.5,SIDEWAYS
2026-06-01,DRREDDY.NS,BUY,0.433,57.5,1303.5,1239.83,1399.01,1.5,SIDEWAYS
2026-06-01,HINDUNILVR.NS,BUY,0.4,66.2,2153.5,2067.26,2282.86,1.5,SIDEWAYS
2026-06-01,TATASTEEL.NS,BUY,0.4,65.0,208.02,198.61,222.13,1.5,SIDEWAYS
2026-06-01,KOTAKBANK.NS,HOLD,0.3,50.0,384.2,372.67,395.73,1.0,SIDEWAYS
2026-06-01,MARUTI.NS,HOLD,0.3,52.5,13127.0,12733.19,13520.81,1.0,SIDEWAYS
2026-06-01,EICHERMOT.NS,BUY,0.3,61.7,7177.0,6842.21,7679.18,1.5,SIDEWAYS
2026-06-01,TITAN.NS,HOLD,0.244,55.0,4074.9,3952.65,4197.15,1.0,SIDEWAYS
2026-06-01,ITC.NS,HOLD,0.241,67.5,286.9,278.29,295.51,1.0,SIDEWAYS
2026-06-01,NTPC.NS,HOLD,0.22,58.8,386.9,375.29,398.51,1.0,SIDEWAYS
2026-06-01,RELIANCE.NS,HOLD,0.133,60.0,1321.2,1281.56,1360.84,1.0,SIDEWAYS
2026-06-01,ASIANPAINT.NS,HOLD,0.1,60.0,2671.6,2591.45,2751.75,1.0,SIDEWAYS
2026-06-01,AXISBANK.NS,HOLD,0.078,50.0,1286.6,1248.0,1325.2,1.0,SIDEWAYS
2026-06-01,BAJFINANCE.NS,HOLD,0.043,62.5,908.25,881.0,935.5,1.0,SIDEWAYS
2026-06-01,CIPLA.NS,HOLD,-0.011,60.0,1401.0,1358.97,1443.03,1.0,SIDEWAYS
2026-06-01,POWERGRID.NS,HOLD,-0.013,55.0,290.55,281.83,299.27,1.0,SIDEWAYS
2026-06-01,SBIN.NS,HOLD,-0.029,65.0,964.4,935.47,993.33,1.0,SIDEWAYS
2026-06-01,HDFCBANK.NS,HOLD,-0.075,58.3,744.55,722.21,766.89,1.0,SIDEWAYS
2026-06-01,LT.NS,HOLD,-0.106,62.5,4076.5,3954.2,4198.8,1.0,SIDEWAYS
2026-06-01,TCS.NS,HOLD,-0.136,70.0,2258.9,2191.13,2326.67,1.0,SIDEWAYS
2026-06-01,INFY.NS,HOLD,-0.136,70.0,1160.9,1126.07,1195.73,1.0,SIDEWAYS
2026-06-01,BAJAJFINSV.NS,HOLD,-0.144,55.0,1783.6,1730.09,1837.11,1.0,SIDEWAYS
2026-06-01,ADANIENT.NS,SELL,-0.275,65.0,2937.4,3122.83,2659.26,1.5,SIDEWAYS
2026-06-01,ICICIBANK.NS,HOLD,-0.367,52.5,1256.4,1218.71,1294.09,1.0,SIDEWAYS
2026-06-01,WIPRO.NS,HOLD,-0.367,52.5,204.25,198.12,210.38,1.0,SIDEWAYS
2026-06-01,HCLTECH.NS,SELL,-0.779,70.0,1183.8,1228.87,1116.19,1.5,SIDEWAYS
